Year,Male,Female
1896,176,0
1900,1197,23
1904,644,6
1906,835,6
1908,1980,44
1912,2356,53
1920,2597,78
1924,3396,169
1928,3362,340
1932,1952,222
1936,4697,441
1948,4545,523
1952,4992,629
1956,3650,516
1960,5255,757
1964,5346,880
1968,5717,994
1972,6845,1266
1976,5704,1490
1980,4965,1358
1984,6213,1844
1988,7349,2512
1992,7967,3206
1994,1216,522
1996,6814,3512
1998,1390,788
2000,6576,4064
2002,1512,885
2004,6252,4288
2006,1539,955
2008,6284,4603
2010,1503,1032
2012,5858,4646
2014,1642,1102
2016,6143,5031
