Year,Season,Nations,Total,Men,Women,Sports,Disciplines,Events
1896,Summer,14,241,241,0,9,10,43
1900,Summer,24,997,975,22,19,20,95
1904,Summer,12,651,645,6,16,17,95
1908,Summer,22,2008,1971,37,22,24,110
1912,Summer,28,2406,2359,47,14,18,102
1916,Summer,0,0,0,0,0,0,0
1920,Summer,29,2626,2561,65,22,29,156
1924,Summer,44,3089,2954,135,17,23,126
1924,Winter,16,258,247,11,6,9,16
1928,Summer,46,2883,2606,277,14,20,109
1928,Winter,25,464,438,26,4,8,14
1932,Summer,37,1332,1206,126,14,20,117
1932,Winter,17,252,231,21,4,7,14
1936,Summer,49,3963,3632,331,19,25,129
1936,Winter,28,646,566,80,4,8,17
1940,Summer,0,0,0,0,0,0,0
1940,Winter,0,0,0,0,0,0,0
1944,Summer,0,0,0,0,0,0,0
1944,Winter,0,0,0,0,0,0,0
1948,Summer,59,4104,3714,390,17,23,136
1948,Winter,28,669,592,77,4,9,22
1952,Summer,69,4955,4436,519,17,23,149
1952,Winter,30,694,585,109,4,8,22
1956,Summer,72,3314,2938,376,17,23,151
1956,Winter,32,821,687,134,4,8,24
1960,Summer,83,5338,4727,611,17,23,150
1960,Winter,30,665,521,144,4,8,27
1964,Summer,93,5151,4473,678,19,25,163
1964,Winter,36,1091,892,199,6,10,34
1968,Summer,112,5516,4735,781,18,24,172
1968,Winter,37,1158,947,211,6,10,35
1972,Summer,121,7134,6075,1059,21,28,195
1972,Winter,35,1006,801,205,6,10,35
1976,Summer,92,6084,4824,1260,21,27,198
1976,Winter,37,1123,892,231,6,10,37
1980,Summer,80,5179,4064,1115,21,27,203
1980,Winter,37,1072,840,232,6,10,38
1984,Summer,140,6829,5263,1566,21,29,221
1984,Winter,49,1272,998,274,6,10,39
1988,Summer,159,8391,6197,2194,23,31,237
1988,Winter,57,1423,1122,301,6,10,46
1992,Summer,169,9356,6652,2704,25,34,257
1992,Winter,64,1801,1313,488,6,12,57
1994,Winter,67,1737,1215,522,6,12,61
1996,Summer,197,10320,6797,3523,26,37,271
1998,Winter,72,2176,1389,787,7,14,68
2000,Summer,199,10651,6582,4069,28,40,300
2002,Winter,78,2399,1513,886,7,15,78
2004,Summer,201,10625,6296,4329,28,40,301
2006,Winter,80,2508,1548,960,7,15,84
2008,Summer,204,10942,6305,4637,28,41,302
2010,Winter,82,2566,1522,1044,7,15,86
2012,Summer,204,10768,5992,4776,26,39,302
2014,Winter,88,2873,1714,1159,7,15,98
2016,Summer,205,11544,?,?,28,41,306
2018,Winter,92,2922,1680,1242,7,15,102
