city,1,summer
Albertville,Winter,0
Amsterdam,Summer,1
Antwerpen,Summer,1
Athina,Summer,1
Atlanta,Summer,1
Barcelona,Summer,1
Beijing,Summer,1
Berlin,Summer,1
Calgary,Winter,0
Chamonix,Winter,0
Cortina d'Ampezzo,Winter,0
Garmisch-Partenkirchen,Winter,0
Grenoble,Winter,0
Helsinki,Summer,1
Innsbruck,Winter,0
Lake Placid,Winter,0
Lillehammer,Winter,0
London,Summer,1
Los Angeles,Summer,1
Melbourne,Summer,1
Mexico City,Summer,1
Montreal,Summer,1
Moskva,Summer,1
Munich,Summer,1
Nagano,Winter,0
Oslo,Winter,0
Paris,Summer,1
Rio de Janeiro,Summer,1
Roma,Summer,1
Salt Lake City,Winter,0
Sankt Moritz,Winter,0
Sapporo,Winter,0
Sarajevo,Winter,0
Seoul,Summer,1
Sochi,Winter,0
Squaw Valley,Winter,0
St. Louis,Summer,1
Stockholm,Summer,1
Sydney,Summer,1
Tokyo,Summer,1
Torino,Winter,0
Vancouver,Winter,0
